title,url,date
"Python 3.13.0RC2, 3.12.6, 3.11.10, 3.10.15, 3.9.20, and 3.8.20 are now available!",https://pythoninsider.blogspot.com/2024/09/python-3130rc2-3126-31110-31015-3920.html,2024-09-07
Pallets projects added to scope of PSF CVE Numbering Authority,https://pyfound.blogspot.com/2024/08/pallets-projects-now-in-scope-for-psf-cna.html,2024-09-05
Python Developers Survey 2023 Results,https://pyfound.blogspot.com/2024/08/python-developers-survey-2023-results.html,2024-08-29
Ask questions or tell us what you think: Introducing monthly PSF Board Office Hours!,https://pyfound.blogspot.com/2024/08/ask-questions-or-tell-us-what-you-think.html,2024-08-27
Announcing Python Software Foundation Fellow Members for Q1 2024! 🎉,https://pyfound.blogspot.com/2024/08/announcing-python-software-foundation.html,2024-08-13
